Assay Catagories	CARMEN-Annotations	DeepSEA	DeepSEA-Downsampling
Transcription Factor Binding	0.984720138	0.967724078	0.988036281
Transcription Factor Binding	0.9871945	0.969615656	0.922403531
Transcription Factor Binding	0.913494436	0.89701768	0.924053515
Transcription Factor Binding	0.861019857	0.844868067	0.949040755
Transcription Factor Binding	0.892389875	0.890440546	0.976707932
Transcription Factor Binding	0.970160855	0.95272497	0.922551489
Transcription Factor Binding	0.983163379	0.965702763	0.905919388
Transcription Factor Binding	0.988865859	0.970624016	0.923546977
Transcription Factor Binding	0.959005159	0.94125701	0.909849995
Transcription Factor Binding	0.973743369	0.957098716	0.970251296
Transcription Factor Binding	0.940961035	0.924680304	0.981426321
Transcription Factor Binding	0.976548477	0.957975186	0.897785833
Transcription Factor Binding	0.971044639	0.954026245	0.951203593
Transcription Factor Binding	0.967612056	0.956119035	0.95375
Transcription Factor Binding	0.973829368	0.955924198	0.964198513
Transcription Factor Binding	0.986573481	0.966971328	0.958797063
Transcription Factor Binding	0.978585051	0.961492995	0.967971861
Transcription Factor Binding	0.982253725	0.963101561	0.952790777
Transcription Factor Binding	0.973078842	0.953241064	0.967803027
Transcription Factor Binding	0.987465015	0.966827784	0.993883102
Transcription Factor Binding	0.966524813	0.946856187	0.853612309
Transcription Factor Binding	0.981332652	0.960457188	0.946070025
Transcription Factor Binding	0.98028665	0.959203153	0.978203212
Transcription Factor Binding	0.974518649	0.954636203	0.95622588
Transcription Factor Binding	0.973706642	0.95304759	0.983151502
Transcription Factor Binding	0.97776334	0.958486059	0.953116985
Transcription Factor Binding	0.993263648	0.971565265	0.953627835
Transcription Factor Binding	0.966505326	0.945047181	0.896759547
Transcription Factor Binding	0.979267962	0.958298093	0.92312448
Transcription Factor Binding	0.929778957	0.909010551	0.988614958
Transcription Factor Binding	0.985264523	0.962022049	0.973126347
Transcription Factor Binding	0.974602105	0.952042593	0.975071985
Transcription Factor Binding	0.977963474	0.95448315	0.980958639
Transcription Factor Binding	0.936813597	0.913191801	0.973110216
Transcription Factor Binding	0.98802605	0.963235911	0.973231401
Transcription Factor Binding	0.96908126	0.944348841	0.992778237
Transcription Factor Binding	0.979078353	0.954630578	0.840391855
Transcription Factor Binding	0.989536838	0.963784786	0.89405004
Transcription Factor Binding	0.980563567	0.955840635	0.951281547
Transcription Factor Binding	0.988901163	0.962361693	0.894715469
Transcription Factor Binding	0.984153605	0.958072088	0.958252399
Transcription Factor Binding	0.982628853	0.955196962	0.980813729
Transcription Factor Binding	0.973656602	0.94653831	0.969188849
Transcription Factor Binding	0.967351726	0.940281022	0.972388071
Transcription Factor Binding	0.960587587	0.935128543	0.932469628
Transcription Factor Binding	0.964653057	0.938142161	0.951435397
Transcription Factor Binding	0.981973511	0.953604242	0.944850424
Transcription Factor Binding	0.975216651	0.947255308	0.965485525
Transcription Factor Binding	0.971423329	0.942711195	0.97795009
Transcription Factor Binding	0.973251626	0.944196728	0.944106493
Transcription Factor Binding	0.995188566	0.964978887	0.938971382
Transcription Factor Binding	0.959995794	0.932658125	0.989019758
Transcription Factor Binding	0.928815916	0.908275757	0.975569274
Transcription Factor Binding	0.97283587	0.94269021	0.977284453
Transcription Factor Binding	0.965393449	0.93694478	0.962693819
Transcription Factor Binding	0.971644036	0.942017622	0.950981937
Transcription Factor Binding	0.97710561	0.946450203	0.94235433
Transcription Factor Binding	0.959065114	0.929263022	0.944767786
Transcription Factor Binding	0.965380889	0.93451815	0.962065974
Transcription Factor Binding	0.911611948	0.885424571	0.964460466
Transcription Factor Binding	0.912837609	0.885867671	0.964476302
Transcription Factor Binding	0.974586592	0.943101921	0.974508219
Transcription Factor Binding	0.979364339	0.947257027	0.984947277
Transcription Factor Binding	0.979912477	0.947173928	0.985622037
Transcription Factor Binding	0.980976039	0.948802012	0.983673861
Transcription Factor Binding	0.981563488	0.950789565	0.964006544
Transcription Factor Binding	0.991413967	0.957708483	0.959280715
Transcription Factor Binding	0.973732019	0.943786192	0.886027887
Transcription Factor Binding	0.957401968	0.925506337	0.993136847
Transcription Factor Binding	0.984102704	0.951680706	0.864149422
Transcription Factor Binding	0.987117342	0.952436603	0.987341114
Transcription Factor Binding	0.964927775	0.930523887	0.95543928
Transcription Factor Binding	0.944258304	0.910957167	0.933569949
Transcription Factor Binding	0.955982011	0.922597989	0.95557103
Transcription Factor Binding	0.95489402	0.920975477	0.955141583
Transcription Factor Binding	0.945828309	0.91312342	0.93991326
Transcription Factor Binding	0.95712454	0.922334826	0.941937198
Transcription Factor Binding	0.942255022	0.908166107	0.978206956
Transcription Factor Binding	0.970846163	0.933993717	0.94550554
Transcription Factor Binding	0.836774719	0.810107062	0.959334607
Transcription Factor Binding	0.983738389	0.945297111	0.901602409
Transcription Factor Binding	0.94905143	0.910221709	0.961119347
Transcription Factor Binding	0.976643579	0.935641807	0.966343022
Transcription Factor Binding	0.962000917	0.921216659	0.931630676
Transcription Factor Binding	0.975063635	0.93145635	0.919761714
Transcription Factor Binding	0.960438447	0.917607875	0.933312477
Transcription Factor Binding	0.98017638	0.935409158	0.952124026
Transcription Factor Binding	0.976980948	0.932021719	0.933815873
Transcription Factor Binding	0.926555305	0.881868319	0.881130396
Transcription Factor Binding	0.977432679	0.931529498	0.839459248
Transcription Factor Binding	0.968177658	0.918940734	0.969261898
Transcription Factor Binding	0.933652335	0.884446632	0.978412693
Transcription Factor Binding	0.979720121	0.930438563	0.919761309
Transcription Factor Binding	0.985762922	0.937050394	0.845502359
Transcription Factor Binding	0.9853597	0.934407177	0.912757275
Transcription Factor Binding	0.915238419	0.867518233	0.949937148
Transcription Factor Binding	0.97808427	0.926471266	0.914104846
Transcription Factor Binding	0.957621672	0.904599574	0.925580393
Transcription Factor Binding	0.918770993	0.867672168	0.934341096
Transcription Factor Binding	0.975607758	0.91807632	0.884763876
Transcription Factor Binding	0.989000651	0.929799688	0.978646054
Transcription Factor Binding	0.959435392	0.900893332	0.979905897
Transcription Factor Binding	0.977495582	0.917241364	0.92847712
Transcription Factor Binding	0.963599951	0.903966501	0.973916081
Transcription Factor Binding	0.976522475	0.916608232	0.986910419
